classification,token,line_num,line
unsourced,0.0406,203,"| 8 | ₹4,536 – ₹10,786 | 131 | 0.1443 | 0.1298 | -0.0146 | 0.0281 | [-0.0697, +0.0406] | NO |"
unsourced,"11,085",204,"| 9 | ₹11,085 – ₹49,547 | 88 | 0.1242 | 0.1023 | -0.0219 | 0.0314 | [-0.0835, +0.0397] | NO |"
unsourced,"49,547",204,"| 9 | ₹11,085 – ₹49,547 | 88 | 0.1242 | 0.1023 | -0.0219 | 0.0314 | [-0.0835, +0.0397] | NO |"
unsourced,88,204,"| 9 | ₹11,085 – ₹49,547 | 88 | 0.1242 | 0.1023 | -0.0219 | 0.0314 | [-0.0835, +0.0397] | NO |"
unsourced,0.1242,204,"| 9 | ₹11,085 – ₹49,547 | 88 | 0.1242 | 0.1023 | -0.0219 | 0.0314 | [-0.0835, +0.0397] | NO |"
unsourced,0.1023,204,"| 9 | ₹11,085 – ₹49,547 | 88 | 0.1242 | 0.1023 | -0.0219 | 0.0314 | [-0.0835, +0.0397] | NO |"
unsourced,0.0219,204,"| 9 | ₹11,085 – ₹49,547 | 88 | 0.1242 | 0.1023 | -0.0219 | 0.0314 | [-0.0835, +0.0397] | NO |"
unsourced,0.0314,204,"| 9 | ₹11,085 – ₹49,547 | 88 | 0.1242 | 0.1023 | -0.0219 | 0.0314 | [-0.0835, +0.0397] | NO |"
unsourced,0.0835,204,"| 9 | ₹11,085 – ₹49,547 | 88 | 0.1242 | 0.1023 | -0.0219 | 0.0314 | [-0.0835, +0.0397] | NO |"
unsourced,0.0397,204,"| 9 | ₹11,085 – ₹49,547 | 88 | 0.1242 | 0.1023 | -0.0219 | 0.0314 | [-0.0835, +0.0397] | NO |"
unsourced,9.9,214,"| **Transactions ($N$)** | 1,435 | 1,577 | +9.9% |"
unsourced,5.2,215,"| **Policy A Net Total** | ₹1,235,565.73 | ₹1,299,952.45 | +5.2% |"
unsourced,51.4,217,"| **B0 Waterfall Net Total** | ₹989,434.95 | ₹1,497,969.37 | +51.4% |"
unsourced,"246,130.78",219,"| **Policy A minus B0 Net** | **+₹246,130.78 (+24.9%)** | **-₹198,016.92 (-13.22%)** | **₹444,147.70 SWING** |"
unsourced,24.9,219,"| **Policy A minus B0 Net** | **+₹246,130.78 (+24.9%)** | **-₹198,016.92 (-13.22%)** | **₹444,147.70 SWING** |"
unsourced,13.22,219,"| **Policy A minus B0 Net** | **+₹246,130.78 (+24.9%)** | **-₹198,016.92 (-13.22%)** | **₹444,147.70 SWING** |"
unsourced,"444,147.70",219,"| **Policy A minus B0 Net** | **+₹246,130.78 (+24.9%)** | **-₹198,016.92 (-13.22%)** | **₹444,147.70 SWING** |"
unsourced,"2,987,838.35",220,"| **Oracle (B6) Net Total** | ₹2,987,838.35 | ₹3,359,011.12 | +12.4% |"
unsourced,12.4,220,"| **Oracle (B6) Net Total** | ₹2,987,838.35 | ₹3,359,011.12 | +12.4% |"
unsourced,"2,082.12",221,"| **Oracle Net Per Txn** | ₹2,082.12 | ₹2,129.37 | +2.3% |"
unsourced,"2,129.37",221,"| **Oracle Net Per Txn** | ₹2,082.12 | ₹2,129.37 | +2.3% |"
unsourced,2.3,221,"| **Oracle Net Per Txn** | ₹2,082.12 | ₹2,129.37 | +2.3% |"
unsourced,15.2,223,| **Top 1% Value Share** | 15.2% | 16.1% | — |
unsourced,16.1,223,| **Top 1% Value Share** | 15.2% | 16.1% | — |
unsourced,"444,147.70",225,"The total gap swing of **₹444,147.70** is well inside the test bootstrap 95% CI width of **₹1,108,876.31** ([-₹776,314, +₹332,562])."
unsourced,"776,314",225,"The total gap swing of **₹444,147.70** is well inside the test bootstrap 95% CI width of **₹1,108,876.31** ([-₹776,314, +₹332,562])."
unsourced,"332,562",225,"The total gap swing of **₹444,147.70** is well inside the test bootstrap 95% CI width of **₹1,108,876.31** ([-₹776,314, +₹332,562])."
unsourced,15,236,| **ORD-1** | raw-derived | Distinct orderings per pair is 1 or 2 | **PASS** | 15 pairs verified; 13 full orderings |
unsourced,100.0,238,"| **P3-1** | Class H | $\lambda=1.0$ reproduces LIVE frozen M4 validation baseline | **PASS** | Net diff = ₹0.00, Agreement = 100.0% |"
unsourced,329,252,| Policy A validation recovered count | 326 (draft 1) / 329 (draft 2) | **326** | AGREE (with draft 1) |
unsourced,31,254,| P5 `wait` recoveries on 204 | 31 (draft 1 data error) | **6** | DISAGREE (prior was data error) |
unsourced,"329,676.00",256,"| Top 3 close-only sum | ₹329,676.00 / ₹323,945.00 | **₹329,675.72** | AGREE (with draft 1 reference) |"
unsourced,"323,945.00",256,"| Top 3 close-only sum | ₹329,676.00 / ₹323,945.00 | **₹329,675.72** | AGREE (with draft 1 reference) |"
unsourced,0.52,257,| P2 Concordance rate | 0.52 (draft 1 text) / 0.6223 (draft 2) | **0.6223** | AGREE (with draft 2) |
unsourced,0.6223,257,| P2 Concordance rate | 0.52 (draft 1 text) / 0.6223 (draft 2) | **0.6223** | AGREE (with draft 2) |
unsourced,0.6223,257,| P2 Concordance rate | 0.52 (draft 1 text) / 0.6223 (draft 2) | **0.6223** | AGREE (with draft 2) |
unsourced,24.9,278,"3. **M5 Reporting:** Reframe M5 reporting to reflect the cross-split variance finding (Policy A +24.9% on validation vs -13.2% on test, with Policy A stable to -4.3% while B0 shifts +37.8%), retaining the frozen original test numbers and bootstrap CI verbatim alongside."
unsourced,13.2,278,"3. **M5 Reporting:** Reframe M5 reporting to reflect the cross-split variance finding (Policy A +24.9% on validation vs -13.2% on test, with Policy A stable to -4.3% while B0 shifts +37.8%), retaining the frozen original test numbers and bootstrap CI verbatim alongside."
sourced,87,9,
sourced,6.06,9,
sourced,"1,435",9,
sourced,87,10,
sourced,14.5,16,
sourced,"1,078,896.67",17,
sourced,"989,434.95",17,
sourced,204,19,
sourced,3.9,19,
sourced,"596,379.05",19,
sourced,2.9,19,
sourced,"348,969.49",19,
sourced,1998,20,
sourced,7703,20,
sourced,196,20,
sourced,"329,675.72",20,
sourced,861.02,22,
sourced,824.32,22,
sourced,4.3,22,
sourced,37.8,23,
sourced,689.50,23,
sourced,949.89,23,
sourced,"1,108,876.31",24,
sourced,"1,435",55,
sourced,13,56,
sourced,554,58,
sourced,38.6,58,
sourced,153,59,
sourced,10.7,59,
sourced,126,60,
sourced,8.8,60,
sourced,117,61,
sourced,8.2,61,
sourced,116,62,
sourced,8.1,62,
sourced,"1,348",65,
sourced,93.9,65,
sourced,87,65,
sourced,6.1,65,
sourced,885,66,
sourced,61.7,66,
sourced,550,66,
sourced,38.3,66,
sourced,"1,365",67,
sourced,95.1,67,
sourced,70,67,
sourced,4.9,67,
sourced,97.03,70,
sourced,"279,558.65",70,
sourced,567,72,
sourced,260,72,
sourced,"1,261",73,
sourced,411,73,
sourced,"1,261",74,
sourced,35,74,
sourced,918,75,
sourced,555,75,
sourced,"1,435",76,
sourced,174,76,
sourced,"1,435",77,
sourced,13,81,
sourced,87,87,
sourced,6.06,87,
sourced,"1,348",88,
sourced,93.94,88,
sourced,"1,435",109,
sourced,326,109,
sourced,22.72,109,
sourced,"2,680.00",109,
sourced,"38,468.39",109,
sourced,"1,235,565.73",109,
sourced,861.02,109,
sourced,"1,435",110,
sourced,272,110,
sourced,18.95,110,
sourced,"992,650.95",110,
sourced,"3,216.00",110,
sourced,"989,434.95",110,
sourced,689.50,110,
sourced,"1,577",111,
sourced,361,111,
sourced,22.89,111,
sourced,"1,302,749.45",111,
sourced,"2,797.00",111,
sourced,"40,673.29",111,
sourced,"1,299,952.45",111,
sourced,824.32,111,
sourced,"1,577",112,
sourced,312,112,
sourced,19.78,112,
sourced,"1,501,443.37",112,
sourced,"3,474.00",112,
sourced,"1,497,969.37",112,
sourced,949.89,112,
sourced,"1,577",113,
sourced,266,113,
sourced,16.87,113,
sourced,"1,363,512.35",113,
sourced,"2,427.00",113,
sourced,"11,300.31",113,
sourced,"1,361,085.35",113,
sourced,863.09,113,
sourced,"1,577",114,
sourced,818,114,
sourced,51.87,114,
sourced,"3,360,246.12",114,
sourced,"1,235.00",114,
sourced,"37,399.62",114,
sourced,"3,359,011.12",114,
sourced,0.3329,123,
sourced,567,123,
sourced,0.2173,124,
sourced,"1,261",124,
sourced,0.1794,125,
sourced,"1,261",125,
sourced,0.2197,126,
sourced,918,126,
sourced,0.1381,127,
sourced,"1,435",127,
sourced,0.1029,128,
sourced,"1,435",128,
sourced,"1,078,896.67",133,
sourced,"1,058,557.21",133,
sourced,"20,339.46",133,
sourced,288,133,
sourced,20.07,133,
sourced,567,133,
sourced,174,133,
sourced,"1,090,067.85",134,
sourced,"1,139,204.48",134,
sourced,"49,136.63",134,
sourced,290,134,
sourced,20.21,134,
sourced,567,134,
sourced,174,134,
sourced,"1,103,310.75",135,
sourced,"1,182,206.78",135,
sourced,"78,896.03",135,
sourced,294,135,
sourced,20.49,135,
sourced,567,135,
sourced,174,135,
sourced,"1,196,671.25",136,
sourced,"1,183,920.74",136,
sourced,"12,750.51",136,
sourced,319,136,
sourced,22.23,136,
sourced,174,136,
sourced,"1,235,565.73",137,
sourced,"1,235,565.73",137,
sourced,326,137,
sourced,22.72,137,
sourced,555,137,
sourced,411,137,
sourced,260,137,
sourced,174,137,
sourced,35,137,
sourced,14.5,140,
sourced,204,144,
sourced,"529,259.10",151,
sourced,"281,849.54",152,
sourced,"67,119.95",153,
sourced,4518,153,
sourced,191,154,
sourced,"6,044,992.33",154,
sourced,"596,379.05",155,
sourced,"348,969.49",156,
sourced,"247,409.56",157,
sourced,1998,160,
sourced,"139,904.76",160,
sourced,7703,161,
sourced,"114,085.35",161,
sourced,196,162,
sourced,"75,685.61",162,
sourced,"329,675.72",163,
sourced,166.5,163,
sourced,204,171,
sourced,"198,016.92",174,
sourced,"198,016.92",176,
sourced,567,185,
sourced,0.3329,185,
sourced,"1,261",186,
sourced,0.2173,186,
sourced,"1,261",187,
sourced,0.1794,187,
sourced,918,188,
sourced,0.2197,188,
sourced,"1,435",189,
sourced,0.1381,189,
sourced,"1,435",190,
sourced,0.1029,190,
sourced,"1,261",192,
sourced,"1,435",214,
sourced,"1,577",214,
sourced,"1,235,565.73",215,
sourced,"1,299,952.45",215,
sourced,861.02,216,
sourced,824.32,216,
sourced,4.3,216,
sourced,"989,434.95",217,
sourced,"1,497,969.37",217,
sourced,689.50,218,
sourced,949.89,218,
sourced,37.8,218,
sourced,"198,016.92",219,
sourced,"3,359,011.12",220,
sourced,"279,558.65",222,
sourced,"139,904.76",222,
sourced,"1,108,876.31",225,
sourced,13,236,
sourced,"198,016.92",242,
sourced,87,251,
sourced,87,251,
sourced,326,252,
sourced,326,252,
sourced,"989,434.95",253,
sourced,"989,434.95",253,
sourced,204,254,
sourced,204,255,
sourced,"329,675.72",256,
sourced,"1,235,565.73",258,
sourced,"1,235,565.73",258,
sourced,4.3,278,
sourced,37.8,278,
allowed,2,1,
allowed,2,1,
allowed,2,1,
allowed,1,3,
allowed,2,5,
allowed,1,8,
allowed,0,8,
allowed,0.0,9,
allowed,0,9,
allowed,0.00,9,
allowed,2,11,
allowed,95,12,
allowed,0.50,12,
allowed,1,14,
allowed,5,14,
allowed,3,15,
allowed,0.0,16,
allowed,1.0,16,
allowed,0.0,17,
allowed,4,18,
allowed,8,19,
allowed,6,19,
allowed,3,20,
allowed,5,21,
allowed,3,23,
allowed,95,24,
allowed,2,28,
allowed,1,30,
allowed,12,50,
allowed,6,50,
allowed,6,50,
allowed,12,52,
allowed,2,54,
allowed,5,57,
allowed,1,58,
allowed,2,59,
allowed,3,60,
allowed,4,61,
allowed,5,62,
allowed,0,65,
allowed,3,69,
allowed,0,77,
allowed,4,79,
allowed,3,85,
allowed,0,89,
allowed,0.00,89,
allowed,0.0,92,
allowed,0,92,
allowed,0.00,92,
allowed,0.00,93,
allowed,4,97,
allowed,1,99,
allowed,1,102,
allowed,100,102,
allowed,2,106,
allowed,95,107,
allowed,0.00,110,
allowed,0.00,112,
allowed,1,116,
allowed,6,116,
allowed,0.01,116,
allowed,5,120,
allowed,0.00,133,
allowed,3,133,
allowed,0.25,134,
allowed,0.50,135,
allowed,0.75,136,
allowed,1.00,137,
allowed,0.00,137,
allowed,1,139,
allowed,1.0,139,
allowed,0.00,139,
allowed,0.0,140,
allowed,1.0,140,
allowed,6,144,
allowed,4,148,
allowed,7,151,
allowed,5,152,
allowed,1,153,
allowed,8,155,
allowed,6,156,
allowed,2,157,
allowed,3,159,
allowed,1,160,
allowed,2,161,
allowed,3,162,
allowed,3,163,
allowed,7,167,
allowed,1,176,
allowed,0.01,176,
allowed,8,180,
allowed,95,180,
allowed,95,183,
allowed,0,183,
allowed,95,193,
allowed,0,193,
allowed,0,195,
allowed,1,196,
allowed,2,197,
allowed,3,198,
allowed,4,199,
allowed,5,200,
allowed,6,201,
allowed,7,202,
allowed,8,203,
allowed,9,204,
allowed,0,206,
allowed,10,206,
allowed,95,206,
allowed,9,210,
allowed,1,223,
allowed,95,225,
allowed,10,229,
allowed,1,234,
allowed,6,234,
allowed,2,235,
allowed,1,236,
allowed,1,236,
allowed,2,236,
allowed,2,237,
allowed,4,237,
allowed,1,238,
allowed,1.0,238,
allowed,0.00,238,
allowed,2,239,
allowed,0,239,
allowed,100,239,
allowed,3,240,
allowed,1,241,
allowed,5,241,
allowed,5,241,
allowed,0.00,241,
allowed,1,242,
allowed,2,243,
allowed,1,244,
allowed,2,245,
allowed,1,246,
allowed,1,251,
allowed,0,251,
allowed,2,251,
allowed,1,251,
allowed,1,252,
allowed,2,252,
allowed,1,252,
allowed,1,254,
allowed,6,254,
allowed,8,255,
allowed,8,255,
allowed,3,256,
allowed,1,256,
allowed,1,257,
allowed,2,257,
allowed,2,257,
allowed,11,262,
allowed,1,276,
allowed,0,276,
allowed,0,276,
allowed,0.00,276,
allowed,0,276,
allowed,2,277,
allowed,12,277,
allowed,12,277,
allowed,3,278,
allowed,4,279,
allowed,5,280,
